id_source,id_target,distance
1,11,7491
1,14,6237
1,19,4478
1,44,3550
1,69,7672
1,446,11528
1,579,10873
2,27,11019
2,31,7784
2,77,12537
2,161,10426
2,204,5765
2,206,8321
2,338,5053
2,603,10607
2,659,11066
2,663,4693
3,7,4719
3,18,5059
3,38,7058
4,25,5183
4,444,11767
4,664,11044
6,51,12706
7,3,4719
7,18,9513
7,38,2710
8,20,4415
8,197,10267
8,399,8277
8,419,5578
8,516,6972
9,51,9825
9,208,9263
9,378,6685
9,420,7867
9,445,9376
9,549,11798
10,53,6027
10,226,6034
10,379,10175
10,413,8833
10,473,9228
10,668,7339
11,1,7491
11,14,12182
11,19,4098
11,44,10908
11,263,5615
11,330,8403
11,579,4786
12,15,11528
12,47,12425
12,77,8433
12,161,9321
12,204,11613
12,213,6320
12,374,9178
12,474,10037
12,498,10525
12,515,12740
12,603,11674
12,665,10996
13,229,10904
13,397,4746
13,405,5798
13,615,10919
14,1,6237
14,11,12182
14,19,8115
14,44,3958
14,69,7867
14,175,12194
14,374,12049
14,446,11537
14,498,11791
14,515,12648
15,12,11528
15,23,12928
15,204,10089
15,213,5403
15,472,8081
15,474,10590
15,558,7399
15,603,4343
16,135,6951
16,221,5516
16,332,8427
16,584,10550
17,22,12072
17,65,11961
17,164,4674
18,3,5059
18,7,9513
18,38,12040
19,1,4478
19,11,4098
19,14,8115
19,44,7374
19,69,12055
19,263,8986
19,330,12418
19,579,6438
20,8,4415
20,197,10742
20,399,5881
20,404,10486
20,419,7152
20,516,11372
21,26,2497
21,34,9015
21,227,11948
21,318,5388
21,398,11875
22,17,12072
22,67,8668
22,592,7879
23,15,12928
23,27,7792
23,66,8082
23,312,3306
23,558,5987
23,603,12684
25,4,5183
26,21,2497
26,34,7181
26,318,4737
26,398,12688
27,2,11019
27,23,7792
27,31,6001
27,66,11607
27,204,12179
27,206,10371
27,312,4583
27,558,7180
27,603,10866
28,29,9397
28,55,5859
28,66,6949
28,214,3466
28,228,8640
28,259,10320
28,305,4709
28,614,11674
29,28,9397
29,40,10000
29,214,6284
29,305,9365
30,32,5086
30,339,11379
30,363,5285
31,2,7784
31,27,6001
31,40,12832
31,204,11709
31,206,4386
31,312,10522
31,338,12439
31,558,12309
31,663,12392
32,30,5086
32,339,6325
32,363,311
33,79,9130
33,80,8973
33,167,8268
33,191,8528
33,234,5256
33,242,12728
33,309,12639
34,21,9015
34,26,7181
34,318,4679
35,278,10559
35,308,5183
35,334,8897
35,381,6633
35,436,8697
35,548,3826
36,435,11202
36,482,6372
37,41,4789
37,244,10582
37,376,11339
38,3,7058
38,7,2710
38,18,12040
40,29,10000
40,31,12832
40,206,11323
41,37,4789
41,244,7532
41,274,12005
41,376,7944
41,653,12747
42,221,12619
42,291,8035
42,371,8903
42,500,11728
42,582,4235
42,583,1055
42,584,7603
43,379,12930
43,400,3036
44,1,3550
44,11,10908
44,14,3958
44,19,7374
44,69,5026
44,446,9019
44,498,12481
44,515,12310
45,250,10739
45,388,6026
45,398,10127
46,89,10396
46,91,4781
46,92,11029
46,297,3733
46,347,3047
46,393,9676
47,12,12425
47,374,6817
47,454,7129
47,527,10633
48,65,6163
48,164,11409
48,453,10298
49,168,12731
49,540,10265
49,565,9852
51,6,12706
51,9,9825
51,156,12534
51,334,12391
51,348,12493
51,378,4494
51,420,9474
51,672,9234
53,10,6027
53,226,11990
53,413,2970
53,473,4682
53,668,3247
55,28,5859
55,66,10415
55,214,8969
55,227,10297
55,228,3926
55,259,5048
55,269,12440
55,305,4667
55,351,10713
55,559,7710
55,614,9981
57,130,5786
57,407,7704
58,133,12735
58,292,8550
58,385,6454
58,401,6489
58,485,11890
58,605,6040
61,112,3590
61,211,4724
61,596,9416
62,123,11964
63,377,6672
65,17,11961
65,48,6163
65,164,7349
65,453,10067
66,23,8082
66,27,11607
66,28,6949
66,55,10415
66,214,8503
66,228,10708
66,305,11480
66,312,8368
66,351,12067
66,614,8931
67,22,8668
67,280,7666
67,592,5033
69,1,7672
69,14,7867
69,19,12055
69,44,5026
69,243,10140
69,446,3996
69,498,10096
69,515,8759
69,665,12702
72,82,3535
72,179,7607
72,354,8295
72,437,10409
73,128,4484
73,149,3917
73,150,4314
73,373,4193
74,278,4715
74,308,12040
74,334,8366
74,348,7064
74,381,8639
74,436,10063
74,494,6632
74,511,4417
74,530,10911
74,672,10270
75,88,12352
75,89,10266
75,92,4150
75,393,6800
75,654,3028
75,655,4874
76,277,10788
76,279,5363
76,281,4056
76,288,6380
76,382,7973
77,2,12537
77,12,8433
77,161,2111
77,204,9265
77,213,10902
77,338,9799
77,374,11364
77,498,6764
77,515,6658
77,663,7859
77,665,3062
78,276,10234
79,33,9130
79,80,4233
79,191,10188
79,234,4937
79,236,7056
79,241,9466
79,242,5300
79,309,3527
80,33,8973
80,79,4233
80,167,10789
80,234,7127
80,236,8425
